                Monatswerte der Station 10675 Bamberg
 STAT JJJJMM   QN    TNN    TNM    TMM    TXM    TXX    SOS    NMM    RSS    RSX    FMM    FXX
----- ------   -- ------ ------ ------ ------ ------ ------ ------ ------ ------ ------ ------
10675 201804    1   -3.1    4.6   12.9   21.3   29.0  233.3    3.8   14.8    4.2    1.9   17.8
10675 201803    3  -11.1   -2.3    3.1    8.3   18.8  103.1    nan   46.0    6.9    2.0   13.7
10675 201802    3  -15.7   -6.6   -2.1    1.8    6.1  108.5    nan   11.8    4.4    nan   12.3
10675 201801    3   -6.6    1.0    4.2    7.1   11.5   27.3    6.8   73.1   10.9    1.9   17.8
10675 201712    3   -6.2   -0.1    2.6    5.2   13.6   34.7    6.7   68.3    7.3    1.9   17.0
10675 201711    3   -2.7    1.7    5.0    7.9   15.4   28.9    6.8   79.2   13.7    1.6   12.2
10675 201710    3   -0.7    6.1   10.8   15.8   23.1   74.6    6.3   44.5   12.6    1.7   21.6
10675 201709    3    3.8    6.9   12.0   18.2   22.5   92.4    6.2   54.5   24.7    1.4   15.5
10675 201708    3    6.3   11.7   18.2   25.2   31.4  218.2    4.9   73.6   18.9    1.5   16.8
10675 201707    3    8.1   12.7   18.8   24.8   33.1  215.6    5.4  125.2   25.2    1.8   14.7
10675 201706    3    6.4   10.2   18.3   25.3   33.9  262.7    nan   70.0   25.8    nan   15.9
10675 201705    3   -2.2    5.8   14.4   21.4   32.1  222.7    nan   59.6   16.8    nan   13.9
10675 201704    3   -3.5    1.2    7.9   13.9   23.8  128.5    5.8   25.6   17.6    1.9   13.6
10675 201703    3   -5.0    0.7    7.2   13.4   24.1  144.8    6.2   49.5   17.0    1.9   18.0
10675 201702    3   -7.5   -1.2    3.3    8.0   15.2   77.8    6.1   22.6    4.1    1.8   21.7
10675 201701    3  -19.1   -9.0   -4.0    0.6    5.4   92.2    nan   25.9    7.1    1.7   21.0
10675 201612    3  -11.9   -2.7    0.8    3.8   10.5   54.3    6.4    7.2    1.8    1.6   12.3
10675 201611    3  -10.3   -0.8    3.4    7.5   14.8   64.6    6.6   64.3   13.2    1.6   12.4
