STATIONS_ID;MESS_DATUM_BEGINN;MESS_DATUM_ENDE;QN_4;MO_N;MO_TT;MO_TX;MO_TN;MO_FK;MX_TX;MX_FX;MX_TN;MO_SD_S;QN_6;MO_RR;MX_RS;eor
       1420;20161001;20161031;    3;  5.96;   9.83;   13.58;    6.13;    2.10;  18.10;  16.50;   2.80;  67.37;    3;    47.70;   18.90;eor
       1420;20161101;20161130;    3;  6.09;   5.27;    8.37;    2.02;    2.40;  14.90;  17.50;  -7.60;  51.83;    3;    39.40;   12.80;eor
       1420;20161201;20161231;    3;  6.32;   2.50;    4.76;    0.16;    2.23;  10.80;  14.70;  -5.90;  44.73;    3;     9.30;    4.00;eor
       1420;20170101;20170131;    3;  5.05;  -0.93;    2.17;   -4.18;    2.39;   6.90;  27.10; -12.80;  90.65;    3;    24.40;    4.70;eor
       1420;20170201;20170228;    3;  5.83;   5.21;    9.09;    1.20;    2.61;  14.90;  22.80;  -4.10;  73.07;    3;    16.70;    4.90;eor
       1420;20170301;20170331;    3;  5.55;   9.32;   14.76;    4.01;    2.74;  23.50;  20.60;  -0.10; 154.55;    3;    42.60;   13.20;eor
       1420;20170401;20170430;    3;  4.83;   9.67;   15.36;    3.56;    2.43;  22.30;  14.90;  -2.90; 180.85;    3;    10.40;    7.00;eor
       1420;20170501;20170531;    3;  5.10;  15.94;   21.57;   10.14;    2.23;  33.20;  14.70;   2.10; 217.72;    3;    85.00;   20.90;eor
       1420;20170601;20170630;    3;  4.48;  20.28;   26.55;   13.61;    2.53;  35.00;  20.70;   7.00; 255.85;    3;    25.40;    8.40;eor
       1420;20170701;20170731;    3;  5.28;  20.34;   25.95;   14.76;    2.58;  34.10;  21.40;   8.80; 193.55;    3;    94.40;   17.20;eor
       1420;20170801;20170831;    3;  5.03;  19.45;   24.87;   14.41;    2.35;  30.10;  27.10;   8.80; 199.82;    3;   103.30;   30.40;eor
       1420;20170901;20170930;    3;  5.46;  14.15;   19.59;    9.69;    2.43;  25.10;  19.20;   4.50; 138.34;    3;    62.50;   26.30;eor
       1420;20171001;20171031;    3;  5.54;  11.70;   16.32;    7.09;    2.58;  22.00;  19.20;  -1.40;  98.75;    3;    33.10;   17.60;eor
       1420;20171101;20171130;    3;  6.43;   5.93;    9.05;    2.52;    2.60;  15.40;  17.80;  -1.70;  50.95;    3;    83.10;   15.20;eor
       1420;20171201;20171231;    3;  6.95;   3.83;    5.96;    1.49;    2.90;  13.80;  20.70;  -3.90;  17.08;    3;    84.10;   14.20;eor
       1420;20180101;20180131;    3;  6.81;   5.95;    8.38;    3.54;    3.00;  12.20;  24.00;  -2.70;  32.15;    3;    71.50;   10.60;eor
       1420;20180201;20180228;    3;  4.34;  -0.01;    3.31;   -3.20;    2.57;   8.60;  16.80;  -9.90; 135.38;    3;    10.60;    3.90;eor
       1420;20180301;20180331;    1;  6.42;   4.81;    9.07;    0.38;    2.55;  14.70;  18.90;  -7.40; 101.23;    1;    40.40;   10.10;eor
       1420;20180401;20180430;    1;  4.67;  14.29;   20.56;    7.38;    2.47;  28.10;  20.10;  -1.20; 231.46;    1;    54.10;   32.70;eor
