       STATIONS_ID; MESS_DATUM;QN_3;  FX;  FM;QN_4; RSK;RSKF; SDK;SHK_TAG;  NM; VPM;  PM; TMK; UPM; TXK; TNK; TGK;eor
       1420;20170101;   10;   9.4;   2.8;    3;   0.0;   7;    0.000;   0;   8.0;   4.8; 1010.75;   -3.0;   98.17;   -1.6;   -4.0;   -3.6;eor
       1420;20170102;   10;   9.3;   3.6;    3;   0.9;   7;    0.467;   0;   7.0;   5.8; 1009.83;    0.4;   92.63;    2.5;   -1.6;   -3.8;eor
       1420;20170103;   10;  14.2;   4.9;    3;   0.0;   7;    0.700;   0;   6.9;   5.7; 1012.48;    1.0;   86.29;    3.9;   -1.8;   -4.4;eor
       1420;20170104;   10;  16.8;   6.8;    3;   4.6;   8;    2.100;   0;   6.8;   6.4; 1002.96;    2.7;   86.54;    5.2;   -0.1;   -2.4;eor
       1420;20170105;   10;  12.3;   4.2;    3;   0.0;   0;    4.033;   0;   2.3;   4.4; 1016.01;   -0.5;   74.08;    1.3;   -6.1;   -8.4;eor
       1420;20170106;   10;   4.3;   1.7;    3;   0.0;   0;    7.700;   0;   0.8;   2.9; 1027.68;   -6.1;   76.71;   -3.0;  -10.4;  -11.6;eor
       1420;20170107;   10;   9.3;   2.6;    3;   0.1;   8;    0.000;   0;   6.4;   3.3; 1021.72;   -6.5;   85.88;   -2.6;  -11.5;  -12.0;eor
       1420;20170108;   10;   8.7;   2.8;    3;   0.0;   7;    0.000;   0;   7.8;   5.6; 1017.87;   -0.6;   96.33;    1.5;   -2.6;   -2.7;eor
       1420;20170109;   10;   9.6;   2.8;    3;   1.5;   7;    0.000;   0;   7.8;   6.1; 1013.49;    0.4;   96.13;    1.4;   -0.4;   -0.7;eor
       1420;20170110;   10;   7.5;   1.9;    3;   4.1;   7;    0.000;   3;   7.6;   5.8; 1000.38;   -0.2;   96.58;    0.6;   -1.1;   -3.7;eor
       1420;20170111;   10;  16.5;   4.8;    3;   2.5;   8;    0.000;   6;   7.5;   6.6;  998.50;    1.6;   96.08;    5.0;   -1.0;   -1.5;eor
       1420;20170112;   10;  17.3;   5.7;    3;   4.7;   8;    0.000;   2;   7.0;   6.9;  995.52;    4.3;   83.13;    5.9;    2.6;    0.8;eor
       1420;20170113;   10;  27.1;   9.6;    3;   3.0;   8;    0.217;   0;   6.8;   5.9;  986.59;    2.4;   80.67;    6.9;   -0.8;   -3.7;eor
       1420;20170114;   10;  15.1;   5.5;    3;   0.0;   7;    0.200;   1;   7.2;   5.7;  998.70;    2.2;   80.17;    3.7;    0.3;   -0.4;eor
       1420;20170115;   10;   9.8;   3.9;    3;   0.0;   0;    4.517;   0;   4.5;   5.2; 1007.28;    0.9;   81.25;    3.7;   -3.9;   -6.0;eor
       1420;20170116;   10;   9.1;   2.1;    3;   0.0;   0;    6.117;   0;   1.9;   4.2; 1013.59;   -2.6;   83.83;    0.9;   -5.1;   -7.4;eor
       1420;20170117;   10;  11.5;   3.8;    3;   0.0;   0;    4.817;   0;   3.8;   3.6; 1022.20;   -1.4;   66.00;    0.9;   -3.6;   -4.7;eor
       1420;20170118;   10;  10.3;   4.1;    3;   0.0;   0;    7.517;   0;   2.2;   3.6; 1024.85;   -2.6;   71.08;    0.2;   -5.1;   -8.3;eor
       1420;20170119;   10;  12.7;   2.6;    3;   0.0;   0;    7.900;   0;   0.3;   3.3; 1023.67;   -2.8;   67.17;    1.7;   -7.2;   -9.3;eor
       1420;20170120;   10;   8.6;   2.1;    3;   0.0;   0;    8.300;   0;   0.7;   3.1; 1021.07;   -2.3;   61.96;    4.8;   -7.5;   -9.7;eor
       1420;20170121;   10;   6.2;   2.0;    3;   0.0;   0;    8.100;   0;   0.3;   3.5; 1017.62;   -1.8;   67.42;    3.5;   -6.4;   -9.0;eor
       1420;20170122;   10;   6.7;   1.7;    3;   0.0;   0;    7.417;   0;   0.0;   3.3; 1014.20;   -4.7;   77.29;    0.9;   -9.3;  -11.9;eor
       1420;20170123;   10;  10.3;   1.6;    3;   0.0;   0;    5.283;   0;   3.0;   3.2; 1013.66;   -6.7;   85.58;   -1.1;  -12.8;  -14.3;eor
       1420;20170124;   10;   6.3;   1.3;    3;   0.0;   7;    0.000;   0;   8.0;   4.3; 1015.94;   -2.5;   85.08;   -1.8;   -3.0;   -3.1;eor
       1420;20170125;   10;   7.7;   2.3;    3;   0.0;   7;    0.000;   0;   7.9;   3.9; 1018.07;   -1.6;   71.83;   -0.5;   -3.4;   -3.6;eor
       1420;20170126;   10;   7.7;   2.4;    3;   0.0;   0;    5.217;   0;   3.8;   4.0; 1013.64;   -0.4;   67.29;    3.1;   -5.1;   -8.1;eor
       1420;20170127;   10;   5.8;   2.0;    3;   0.0;   0;    4.283;   0;   4.0;   3.9; 1009.51;   -1.9;   74.21;    3.7;   -6.5;   -9.8;eor
       1420;20170128;   10;   6.9;   1.5;    3;   0.0;   6;    5.383;   0;   4.9;   4.0; 1008.25;   -1.7;   74.50;    2.7;   -6.3;   -9.2;eor
       1420;20170129;   10;   6.0;   1.1;    3;   1.0;   6;    0.167;   0;   6.3;   4.8; 1009.82;   -0.6;   82.38;    3.5;   -4.8;   -7.7;eor
       1420;20170130;   10;  11.3;   2.9;    3;   2.0;   6;    0.000;   0;   7.6;   7.2; 1002.11;    2.2;   98.00;    5.2;   -2.8;   -5.9;eor
       1420;20170131;   10;   9.1;   2.7;    3;   0.0;   0;    0.217;   0;   7.4;   6.5; 1003.64;    3.6;   82.63;    5.1;    1.7;    0.5;eor
       1420;20170201;   10;   6.2;   1.8;    3;   0.2;   6;    1.217;   0;   7.3;   6.2; 1005.32;    3.8;   77.71;    5.8;    1.0;   -0.6;eor
       1420;20170202;   10;   3.6;   1.6;    3;   0.3;   6;    0.650;   0;   7.2;   7.9;  998.84;    5.1;   89.54;    8.2;    2.9;    1.2;eor
       1420;20170203;   10;   8.9;   2.0;    3;   0.8;   6;    0.100;   0;   6.0;   8.8;  993.99;    5.6;   96.04;   10.5;    2.0;   -1.4;eor
       1420;20170204;   10;   9.4;   2.9;    3;   4.9;   6;    0.000;   0;   6.5;   8.0;  989.51;    5.8;   87.21;    8.7;    0.7;   -2.2;eor
       1420;20170205;   10;  11.1;   3.0;    3;   0.0;   0;    4.983;   0;   6.2;   7.4;  991.62;    5.6;   82.17;    8.9;    0.2;   -2.6;eor
